Name,Type,City,State,Website
(512) Brewing Co,micro,Austin,Texas,http://www.512brewing.com
11 Below Brewing Company,micro,Houston,Texas,http://www.11belowbrewing.com
3 Nations Brewing,micro,Farmers Branch,Texas,http://www.threenationsbrewing.com
4J Brewing Company,micro,Houston,Texas,https://4jbrewingcompany.com
4th Tap Brewing Cooperative,micro,Austin,Texas,
5 Stones Artisan Brewery,micro,New Braunfels,Texas,
8th Wonder Brewery,micro,Houston,Texas,http://www.8thwonderbrew.com
903 Brewers,micro,Sherman,Texas,http://www.903brewers.com
Acopon Brewing Co,micro,Dripping Springs,Texas,http://www.acoponbrewing.com
Adelbert's Brewery LLC,micro,Austin,Texas,http://www.adelbertsbeer.com
Alamo Beer Co,micro,San Antonio,Texas,http://www.alamobeer.com
Altmeyer and Lewis Brewing Company,micro,San Marcos,Texas,http://www.altmeyerlewisbrewing.com
Altstadt Brewery,micro,Fredericksburg,Texas,http://www.altstadtbeer.com
Armadillo Ale Works,micro,Denton,Texas,http://www.armadilloaleworks.com
Astral Brewing,micro,Houston,Texas,https://www.astralbrewing.com
B and J's Handcrafted Texas Ales,micro,Corpus Christi,Texas,http://pizzaandbrew@aol.com
B-52 Brewing,micro,Conroe,Texas,http://www.b52brewing.com
B-CS  Zoigl Brewery,micro,Bryan,Texas,http://www.bcs-zoigl.com
Baa Baa Brewhouse,micro,Brookshire,Texas,http://www.baabaabrewhouse.com
Back Pew Brewing,micro,Porter,Texas,http://www.backpewbrewing.com
Back Unturned Brewing Co.,micro,San Antonio,Texas,http://www.backunturned.com/
"Baileson Brewing Company, LLC",micro,Houston,Texas,http://www.bailesonbrewing.com
BAKFISH Brewing Company,micro,Pearland,Texas,http://www.bakfishbrewing.com
"Bandera Ale Project, LLC",micro,Bandera,Texas,http://www.banderabrewery.com
Bare Arms Brewing,micro,Waco,Texas,http://www.barearmsbrewing.com
Barking Armadillo Brewing,micro,Georgetown,Texas,http://www.barkingarmadillo.com/
Barrow Brewing Company,micro,Salado,Texas,http://www.barrowbrewing.com
Basement Brewers of Texas,micro,Kerrville,Texas,http://www.basementbrewersoftexas.com
Bearded Fox Brewing Co.,micro,Tomball,Texas,http://www.beardedfoxbrewing.com
Beerfoot Beach Bar,micro,Galveston,Texas,http://www.yagaspresents.com/beerfoot/index.html
Big Bend Brewing Co,micro,Alpine,Texas,http://www.bigbendbrewing.com
"Big River Brewery, LLC",micro,Pharr,Texas,
